"weight","lat","lon","cnt","grnt","ln","ta"
167,34.543896,69.160652,AFG,60,27,87
44,40.1772,44.50349,ARM,0,18,26
63,40.409264,49.867092,AZE,3,18,42
768,23.728783,90.393791,BAN,29,282,457
197,27.4728,89.6393,BHU,22,34,141
2,4.5353,114.7277,BRU,0,0,2
400,12.5657,104.991,CAM,59,106,235
57,21.2367,159.7777,COO,3,19,35
117,17.7134,178.065,FIJ,3,25,89
67,7.4256,150.5508,FSM,1,10,56
47,41.716667,44.783333,GEO,0,29,18
5,22.3964,114.1095,HKG,0,5,0
644,20.5937,78.9629,IND,11,215,417
952,0.7893,113.9213,INO,26,336,590
117,43.238949,76.889709,KAZ,0,32,84
176,41.2044,74.7661,KGZ,35,45,96
59,3.3704,168.734,KIR,5,8,46
112,35.9078,127.7669,KOR,0,82,30
459,19.8563,102.4955,LAO,54,106,299
170,4.2105,101.9758,MAL,0,77,93
99,3.2028,73.2207,MLD,7,22,70
328,46.8625,103.8467,MON,40,64,224
153,21.9162,95.956,MYA,7,49,97
22,0.5228,166.9315,NAU,7,1,14
605,28.3949,84.124,NEP,65,163,377
756,30.3753,69.3451,PAK,17,338,401
13,7.515,134.5825,PAL,1,6,6
685,12.8797,121.774,PHI,26,226,433
268,9.4780,147.1507,PNG,16,88,164
1169,35.8617,104.1954,PRC,22,236,911
77,7.1315,171.1845,RMI,6,14,57
162,13.759,172.1046,SAM,18,46,98
17,1.3521,103.8198,SIN,0,15,2
132,9.6457,160.1562,SOL,27,25,80
516,7.8731,80.7718,SRI,27,203,286
154,38.861,71.2761,TAJ,34,31,89
14,23.6978,120.9605,TAP,0,13,1
279,15.87,100.9925,THA,3,90,186
74,8.8742,125.7275,TIM,8,14,52
9,38.9697,59.5563,TKM,0,1,8
100,21.179,175.1982,TON,15,19,66
36,7.1095,177.6493,TUV,7,3,26
187,41.3775,64.5853,UZB,5,66,116
94,15.3767,166.9592,VAN,11,16,67
585,14.0583,108.2772,VIE,34,178,373"
